OrdFY25	POAexemptCode	Description
63958	S82.822P	"Torus fracture of lower end of left fibula, subsequent encounter for fracture with malunion"
63959	S82.822S	"Torus fracture of lower end of left fibula, sequela"
63962	S82.829D	"Torus fracture of lower end of unspecified fibula, subsequent encounter for fracture with routine healing"
63963	S82.829G	"Torus fracture of lower end of unspecified fibula, subsequent encounter for fracture with delayed healing"
63964	S82.829K	"Torus fracture of lower end of unspecified fibula, subsequent encounter for fracture with nonunion"
63965	S82.829P	"Torus fracture of lower end of unspecified fibula, subsequent encounter for fracture with malunion"
63966	S82.829S	"Torus fracture of lower end of unspecified fibula, sequela"
63972	S82.831D	"Other fracture of upper and lower end of right fibula, subsequent encounter for closed fracture with routine healing"
63973	S82.831E	"Other fracture of upper and lower end of right fibula, subsequent encounter for open fracture type I or II with routine healing"
63974	S82.831F	"Other fracture of upper and lower end of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
63975	S82.831G	"Other fracture of upper and lower end of right fibula, subsequent encounter for closed fracture with delayed healing"
63976	S82.831H	"Other fracture of upper and lower end of right fibula, subsequent encounter for open fracture type I or II with delayed healing"
63977	S82.831J	"Other fracture of upper and lower end of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
63978	S82.831K	"Other fracture of upper and lower end of right fibula, subsequent encounter for closed fracture with nonunion"
63979	S82.831M	"Other fracture of upper and lower end of right fibula, subsequent encounter for open fracture type I or II with nonunion"
63980	S82.831N	"Other fracture of upper and lower end of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
63981	S82.831P	"Other fracture of upper and lower end of right fibula, subsequent encounter for closed fracture with malunion"
63982	S82.831Q	"Other fracture of upper and lower end of right fibula, subsequent encounter for open fracture type I or II with malunion"
63983	S82.831R	"Other fracture of upper and lower end of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
63984	S82.831S	"Other fracture of upper and lower end of right fibula, sequela"
63989	S82.832D	"Other fracture of upper and lower end of left fibula, subsequent encounter for closed fracture with routine healing"
63990	S82.832E	"Other fracture of upper and lower end of left fibula, subsequent encounter for open fracture type I or II with routine healing"
63991	S82.832F	"Other fracture of upper and lower end of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
63992	S82.832G	"Other fracture of upper and lower end of left fibula, subsequent encounter for closed fracture with delayed healing"
63993	S82.832H	"Other fracture of upper and lower end of left fibula, subsequent encounter for open fracture type I or II with delayed healing"
63994	S82.832J	"Other fracture of upper and lower end of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
63995	S82.832K	"Other fracture of upper and lower end of left fibula, subsequent encounter for closed fracture with nonunion"
63996	S82.832M	"Other fracture of upper and lower end of left fibula, subsequent encounter for open fracture type I or II with nonunion"
63997	S82.832N	"Other fracture of upper and lower end of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
63998	S82.832P	"Other fracture of upper and lower end of left fibula, subsequent encounter for closed fracture with malunion"
63999	S82.832Q	"Other fracture of upper and lower end of left fibula, subsequent encounter for open fracture type I or II with malunion"
64000	S82.832R	"Other fracture of upper and lower end of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64001	S82.832S	"Other fracture of upper and lower end of left fibula, sequela"
64006	S82.839D	"Other fracture of upper and lower end of unspecified fibula, subsequent encounter for closed fracture with routine healing"
64007	S82.839E	"Other fracture of upper and lower end of unspecified fibula, subsequent encounter for open fracture type I or II with routine healing"
64008	S82.839F	"Other fracture of upper and lower end of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64009	S82.839G	"Other fracture of upper and lower end of unspecified fibula, subsequent encounter for closed fracture with delayed healing"
64010	S82.839H	"Other fracture of upper and lower end of unspecified fibula, subsequent encounter for open fracture type I or II with delayed healing"
64011	S82.839J	"Other fracture of upper and lower end of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64012	S82.839K	"Other fracture of upper and lower end of unspecified fibula, subsequent encounter for closed fracture with nonunion"
64013	S82.839M	"Other fracture of upper and lower end of unspecified fibula, subsequent encounter for open fracture type I or II with nonunion"
64014	S82.839N	"Other fracture of upper and lower end of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64015	S82.839P	"Other fracture of upper and lower end of unspecified fibula, subsequent encounter for closed fracture with malunion"
64016	S82.839Q	"Other fracture of upper and lower end of unspecified fibula, subsequent encounter for open fracture type I or II with malunion"
64017	S82.839R	"Other fracture of upper and lower end of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64018	S82.839S	"Other fracture of upper and lower end of unspecified fibula, sequela"
64024	S82.841D	"Displaced bimalleolar fracture of right lower leg, subsequent encounter for closed fracture with routine healing"
64025	S82.841E	"Displaced bimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with routine healing"
64026	S82.841F	"Displaced bimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64027	S82.841G	"Displaced bimalleolar fracture of right lower leg, subsequent encounter for closed fracture with delayed healing"
64028	S82.841H	"Displaced bimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with delayed healing"
64029	S82.841J	"Displaced bimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64030	S82.841K	"Displaced bimalleolar fracture of right lower leg, subsequent encounter for closed fracture with nonunion"
64031	S82.841M	"Displaced bimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with nonunion"
64032	S82.841N	"Displaced bimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64033	S82.841P	"Displaced bimalleolar fracture of right lower leg, subsequent encounter for closed fracture with malunion"
64034	S82.841Q	"Displaced bimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with malunion"
64035	S82.841R	"Displaced bimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64036	S82.841S	"Displaced bimalleolar fracture of right lower leg, sequela"
64041	S82.842D	"Displaced bimalleolar fracture of left lower leg, subsequent encounter for closed fracture with routine healing"
64042	S82.842E	"Displaced bimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with routine healing"
64043	S82.842F	"Displaced bimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64044	S82.842G	"Displaced bimalleolar fracture of left lower leg, subsequent encounter for closed fracture with delayed healing"
64045	S82.842H	"Displaced bimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with delayed healing"
64046	S82.842J	"Displaced bimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64047	S82.842K	"Displaced bimalleolar fracture of left lower leg, subsequent encounter for closed fracture with nonunion"
64048	S82.842M	"Displaced bimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with nonunion"
64049	S82.842N	"Displaced bimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64050	S82.842P	"Displaced bimalleolar fracture of left lower leg, subsequent encounter for closed fracture with malunion"
64051	S82.842Q	"Displaced bimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with malunion"
64052	S82.842R	"Displaced bimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64053	S82.842S	"Displaced bimalleolar fracture of left lower leg, sequela"
64058	S82.843D	"Displaced bimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with routine healing"
64059	S82.843E	"Displaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with routine healing"
64060	S82.843F	"Displaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64061	S82.843G	"Displaced bimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with delayed healing"
64062	S82.843H	"Displaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with delayed healing"
64063	S82.843J	"Displaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64064	S82.843K	"Displaced bimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with nonunion"
64065	S82.843M	"Displaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with nonunion"
64066	S82.843N	"Displaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64067	S82.843P	"Displaced bimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with malunion"
64068	S82.843Q	"Displaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with malunion"
64069	S82.843R	"Displaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64070	S82.843S	"Displaced bimalleolar fracture of unspecified lower leg, sequela"
64075	S82.844D	"Nondisplaced bimalleolar fracture of right lower leg, subsequent encounter for closed fracture with routine healing"
64076	S82.844E	"Nondisplaced bimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with routine healing"
64077	S82.844F	"Nondisplaced bimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64078	S82.844G	"Nondisplaced bimalleolar fracture of right lower leg, subsequent encounter for closed fracture with delayed healing"
64079	S82.844H	"Nondisplaced bimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with delayed healing"
64080	S82.844J	"Nondisplaced bimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64081	S82.844K	"Nondisplaced bimalleolar fracture of right lower leg, subsequent encounter for closed fracture with nonunion"
64082	S82.844M	"Nondisplaced bimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with nonunion"
64083	S82.844N	"Nondisplaced bimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64084	S82.844P	"Nondisplaced bimalleolar fracture of right lower leg, subsequent encounter for closed fracture with malunion"
64085	S82.844Q	"Nondisplaced bimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with malunion"
64086	S82.844R	"Nondisplaced bimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64087	S82.844S	"Nondisplaced bimalleolar fracture of right lower leg, sequela"
64092	S82.845D	"Nondisplaced bimalleolar fracture of left lower leg, subsequent encounter for closed fracture with routine healing"
64093	S82.845E	"Nondisplaced bimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with routine healing"
64094	S82.845F	"Nondisplaced bimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64095	S82.845G	"Nondisplaced bimalleolar fracture of left lower leg, subsequent encounter for closed fracture with delayed healing"
64096	S82.845H	"Nondisplaced bimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with delayed healing"
64097	S82.845J	"Nondisplaced bimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64098	S82.845K	"Nondisplaced bimalleolar fracture of left lower leg, subsequent encounter for closed fracture with nonunion"
64099	S82.845M	"Nondisplaced bimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with nonunion"
64100	S82.845N	"Nondisplaced bimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64101	S82.845P	"Nondisplaced bimalleolar fracture of left lower leg, subsequent encounter for closed fracture with malunion"
64102	S82.845Q	"Nondisplaced bimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with malunion"
64103	S82.845R	"Nondisplaced bimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64104	S82.845S	"Nondisplaced bimalleolar fracture of left lower leg, sequela"
64109	S82.846D	"Nondisplaced bimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with routine healing"
64110	S82.846E	"Nondisplaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with routine healing"
64111	S82.846F	"Nondisplaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64112	S82.846G	"Nondisplaced bimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with delayed healing"
64113	S82.846H	"Nondisplaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with delayed healing"
64114	S82.846J	"Nondisplaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64115	S82.846K	"Nondisplaced bimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with nonunion"
64116	S82.846M	"Nondisplaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with nonunion"
64117	S82.846N	"Nondisplaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64118	S82.846P	"Nondisplaced bimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with malunion"
64119	S82.846Q	"Nondisplaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with malunion"
64120	S82.846R	"Nondisplaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64121	S82.846S	"Nondisplaced bimalleolar fracture of unspecified lower leg, sequela"
64127	S82.851D	"Displaced trimalleolar fracture of right lower leg, subsequent encounter for closed fracture with routine healing"
64128	S82.851E	"Displaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with routine healing"
64129	S82.851F	"Displaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64130	S82.851G	"Displaced trimalleolar fracture of right lower leg, subsequent encounter for closed fracture with delayed healing"
64131	S82.851H	"Displaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with delayed healing"
64132	S82.851J	"Displaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64133	S82.851K	"Displaced trimalleolar fracture of right lower leg, subsequent encounter for closed fracture with nonunion"
64134	S82.851M	"Displaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with nonunion"
64135	S82.851N	"Displaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64136	S82.851P	"Displaced trimalleolar fracture of right lower leg, subsequent encounter for closed fracture with malunion"
64137	S82.851Q	"Displaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with malunion"
64138	S82.851R	"Displaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64139	S82.851S	"Displaced trimalleolar fracture of right lower leg, sequela"
64144	S82.852D	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with routine healing"
64145	S82.852E	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with routine healing"
64146	S82.852F	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64147	S82.852G	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with delayed healing"
64148	S82.852H	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with delayed healing"
64149	S82.852J	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64150	S82.852K	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with nonunion"
64151	S82.852M	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with nonunion"
64152	S82.852N	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64153	S82.852P	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with malunion"
64154	S82.852Q	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with malunion"
64155	S82.852R	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64156	S82.852S	"Displaced trimalleolar fracture of left lower leg, sequela"
64161	S82.853D	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with routine healing"
64162	S82.853E	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with routine healing"
64163	S82.853F	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64164	S82.853G	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with delayed healing"
64165	S82.853H	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with delayed healing"
64166	S82.853J	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64167	S82.853K	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with nonunion"
64168	S82.853M	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with nonunion"
64169	S82.853N	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64170	S82.853P	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with malunion"
64171	S82.853Q	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with malunion"
64172	S82.853R	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64173	S82.853S	"Displaced trimalleolar fracture of unspecified lower leg, sequela"
64178	S82.854D	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for closed fracture with routine healing"
64179	S82.854E	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with routine healing"
64180	S82.854F	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64181	S82.854G	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for closed fracture with delayed healing"
64182	S82.854H	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with delayed healing"
64183	S82.854J	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64184	S82.854K	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for closed fracture with nonunion"
64185	S82.854M	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with nonunion"
64186	S82.854N	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64187	S82.854P	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for closed fracture with malunion"
64188	S82.854Q	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with malunion"
64189	S82.854R	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64190	S82.854S	"Nondisplaced trimalleolar fracture of right lower leg, sequela"
64195	S82.855D	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with routine healing"
64196	S82.855E	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with routine healing"
64197	S82.855F	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64198	S82.855G	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with delayed healing"
64199	S82.855H	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with delayed healing"
64200	S82.855J	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64201	S82.855K	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with nonunion"
64202	S82.855M	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with nonunion"
64203	S82.855N	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64204	S82.855P	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with malunion"
64205	S82.855Q	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with malunion"
64206	S82.855R	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64207	S82.855S	"Nondisplaced trimalleolar fracture of left lower leg, sequela"
64212	S82.856D	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with routine healing"
64213	S82.856E	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with routine healing"
64214	S82.856F	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64215	S82.856G	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with delayed healing"
64216	S82.856H	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with delayed healing"
64217	S82.856J	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64218	S82.856K	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with nonunion"
64219	S82.856M	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with nonunion"
64220	S82.856N	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64221	S82.856P	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with malunion"
64222	S82.856Q	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with malunion"
64223	S82.856R	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64224	S82.856S	"Nondisplaced trimalleolar fracture of unspecified lower leg, sequela"
64230	S82.861D	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with routine healing"
64231	S82.861E	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type I or II with routine healing"
64232	S82.861F	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64233	S82.861G	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with delayed healing"
64234	S82.861H	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type I or II with delayed healing"
64235	S82.861J	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64236	S82.861K	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with nonunion"
64237	S82.861M	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type I or II with nonunion"
64238	S82.861N	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64239	S82.861P	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with malunion"
64240	S82.861Q	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type I or II with malunion"
64241	S82.861R	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64242	S82.861S	"Displaced Maisonneuve's fracture of right leg, sequela"
64247	S82.862D	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with routine healing"
64248	S82.862E	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type I or II with routine healing"
64249	S82.862F	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64250	S82.862G	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with delayed healing"
64251	S82.862H	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type I or II with delayed healing"
64252	S82.862J	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64253	S82.862K	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with nonunion"
64254	S82.862M	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type I or II with nonunion"
64255	S82.862N	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64256	S82.862P	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with malunion"
64257	S82.862Q	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type I or II with malunion"
64258	S82.862R	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64259	S82.862S	"Displaced Maisonneuve's fracture of left leg, sequela"
64264	S82.863D	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with routine healing"
64265	S82.863E	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with routine healing"
64266	S82.863F	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64267	S82.863G	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with delayed healing"
64268	S82.863H	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with delayed healing"
64269	S82.863J	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64270	S82.863K	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with nonunion"
64271	S82.863M	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with nonunion"
64272	S82.863N	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64273	S82.863P	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with malunion"
64274	S82.863Q	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with malunion"
64275	S82.863R	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64276	S82.863S	"Displaced Maisonneuve's fracture of unspecified leg, sequela"
64281	S82.864D	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with routine healing"
64282	S82.864E	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type I or II with routine healing"
64283	S82.864F	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64284	S82.864G	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with delayed healing"
64285	S82.864H	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type I or II with delayed healing"
64286	S82.864J	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64287	S82.864K	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with nonunion"
64288	S82.864M	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type I or II with nonunion"
64289	S82.864N	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
